treat,hra_c_yr1,male,age50,age37_49,white,sickleave_0815_0716,sickleave_0816_0717,sickleave_0816_0119,sickdays_eligible_0815_0716,sickdays_eligible_0816_0717,sickdays_eligible_0816_0119,gym_0815_0716,gym_0816_0717,gym_0816_0119,promotion_0616_0717,promotion_0616_0119,titleChange_0616_0717,titleChange_0616_0119,salaryRaise_0616_0717,salaryRaise_0616_0119,salary_0616,terminated_0717,terminated_0119,prod_index_yr0,prod_index_yr1,prod_index_yr2
1,1,1,0,0,0,0,0,0,365,365,899,10,2,.8,,,,,,,,0,0,1.553801,,
1,0,1,1,0,1,0,6.875,8.409413,125,365,899,0,0,0,0,0,,,,,,0,0,.3647986,,
1,0,0,0,1,1,9.625,6.875,10.74395,365,365,899,0,0,0,0,1,,,,,,0,0,-.7762989,.6655772,1.893352
1,1,1,0,0,1,0,0,1.21802,365,365,899,0,0,0,0,0,,,,,,0,0,-.839971,-1.515102,-1.850625
1,1,0,1,0,1,8.3375,10.55,10.45467,365,365,899,0,0,0,0,0,,,,,,0,0,-1.178149,-1.772475,-2.163972
0,,0,1,0,1,1,0,0,365,365,698,0,0,0,0,,,,,,,0,1,.7138507,-.2698473,
0,,0,0,1,1,.35,.5,.60901,365,365,899,99,43,20.8,0,0,,,,,,0,0,.568634,.8385171,.6812664
1,1,0,0,0,0,10,0,0,365,365,379,43,43,18,,,,,,,,1,1,-1.031275,,
1,1,0,0,1,1,12.5,7,3.755562,365,365,899,0,0,0,0,0,,,,,,0,0,-1.57647,-1.138866,-1.36984
1,1,0,0,0,1,2,2,1.21802,365,365,899,0,0,0,0,1,,,,,,0,0,-.3055392,-1.202447,.0686875
1,1,1,1,0,1,12.4375,.1125,3.745412,365,365,899,0,0,0,0,0,,,,,,0,0,-.214332,,
0,,1,0,1,1,0,0,0,365,365,899,0,0,.4,,0,,,,,,0,0,1.257124,,
1,1,1,0,1,1,7.2625,8.4125,5.379589,365,365,899,0,0,0,0,0,,,,,,0,0,-.779695,-.8009543,-1.056609
1,1,0,0,1,1,11.25,10.0875,11.54581,365,365,899,0,0,0,0,1,,,,,,0,0,-1.047711,.599168,1.955642
1,1,0,0,1,1,3.5,3.5,3.04505,365,365,899,0,0,0,0,0,,,,,,0,0,1.427237,1.34747,1.286064
1,0,0,1,0,1,.99,0,0,365,0,0,0,0,0,,,,,,,,1,1,.3908814,,
1,0,1,0,0,1,12.65625,0,0,365,0,0,0,0,0,,,,,,,,1,1,-.3410457,,
1,1,0,0,1,1,12.5,0,0,365,228,228,0,0,0,,,,,,,,1,1,-1.383149,,
1,1,0,1,0,1,9.9375,.9375,5.709469,365,365,899,0,0,0,0,0,,,,,,0,0,.0615337,-.0375792,-.2595666
1,1,1,0,1,1,0,6,3.65406,365,365,899,0,0,0,1,1,,,,,,0,0,1.652898,2.007049,1.108754
0,,0,1,0,1,4.057993,14.4375,8.80527,208,365,899,16,1,.4,0,0,,,,,,0,0,.1885607,,
1,0,0,0,1,1,14.4375,14.3,10.52725,365,365,899,0,0,0,0,0,,,,,,0,0,-1.146469,-2.004712,-2.339867
0,,0,0,1,1,10.5625,12.74212,12.74212,365,333,333,0,0,0,,,,,,,,1,1,-1.042664,,
0,,0,0,1,1,7,8.5,6.293103,365,365,899,0,0,.4,0,1,,,,,,0,0,-.2448456,-.1354726,.9230978
1,0,0,1,0,1,8.21875,6.5625,4.948206,365,365,899,0,0,0,0,1,,,,,,0,0,-1.733715,1.281959,2.563041
1,1,0,0,1,1,10.86125,12.125,11.25806,365,365,899,0,0,0,0,1,,,,,,0,0,-.1992158,.5771239,1.954857
1,0,0,1,0,1,9.7,9.0125,9.586832,365,365,899,0,0,0,0,0,,,,,,0,0,.0390978,.7594505,.750439
0,,0,0,1,1,17.5,14.5,6.496107,365,365,899,29,1,.4,0,0,,,,,,0,0,-2.342331,-4.031981,-4.502846
1,0,0,1,0,1,4.21875,15.46875,8.373888,365,365,899,0,0,0,0,0,,,,,,0,0,1.386454,.5905544,.5487601
1,0,0,1,0,1,0,0,0,365,365,899,0,21,13.6,0,1,,,,,,0,0,.9247172,-.7776513,.2050346
0,,0,1,0,1,9.1875,12.66643,13.6358,365,353,353,0,0,0,,,,,,,,1,1,-1.029857,,
1,1,0,0,1,0,9.2125,11.025,9.043798,365,365,899,0,0,0,0,,,,,,,0,0,-1.928892,-.5889395,
0,,1,0,0,1,.8732057,9,3.65406,209,365,899,0,1,.4,0,,,,,,,0,0,.7575355,-3.051251,
1,1,0,0,0,1,2,0,0,365,297,297,1,0,0,,,,,,,,1,1,-.5218329,,
0,,1,0,0,1,.0875,3.1875,11.43924,365,365,899,0,0,0,1,1,,,,,,0,0,.3178212,1.693397,.7141718
1,1,1,1,0,1,0,2,4.466074,365,365,899,0,0,0,0,0,,,,,,0,0,2.423456,.3255483,.1966918
0,,1,0,1,1,0,2,.8120133,237,365,899,0,0,0,0,0,,,,,,0,0,2.539878,.5192541,.3991319
